Year,Player,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,W/L%
1983,Terry Cummings,SDC,0.013,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0.0,0.709,0.164,0.305
1983,Maurice Lucas,PHO,0.012,77,33.6,16.5,10.4,2.8,0.7,0.6,0.474,0.333,0.781,0.132,0.646
1983,Alton Lister,MIL,0.007,80,23.6,8.4,7.1,1.4,0.6,2.2,0.529,,0.537,0.096,0.622
1983,Bernard King,NYK,0.005,68,32.5,21.9,4.8,2.9,1.3,0.2,0.528,0.0,0.722,0.163,0.537
1983,Isiah Thomas,DET,0.005,81,38.2,22.9,4.0,7.8,2.5,0.4,0.472,0.288,0.71,0.115,0.451
1983,Larry Drew,KCK,0.004,75,35.9,20.1,2.8,8.1,1.7,0.1,0.492,0.125,0.82,0.128,0.549
1983,Gus Williams,SEA,0.004,80,34.5,20.0,2.6,8.0,2.3,0.3,0.477,0.047,0.751,0.148,0.585
1983,Dan Roundfield,ATL,0.003,77,36.5,19.0,11.4,2.9,0.8,1.5,0.47,0.185,0.749,0.127,0.524
1983,Marques Johnson,MIL,0.002,80,35.7,21.4,7.0,4.5,1.3,0.7,0.509,0.2,0.735,0.18,0.622
1983,Norm Nixon,LAL,0.001,79,34.3,15.1,2.6,7.2,1.3,0.1,0.475,0.0,0.744,0.069,0.707
1983,Kiki Vandeweghe,DEN,0.001,82,35.5,26.7,5.3,2.5,0.8,0.5,0.547,0.294,0.875,0.182,0.549
1984,Larry Bird,BOS,0.858,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,0.215,0.756
1984,Bernard King,NYK,0.491,77,34.6,26.3,5.1,2.1,1.0,0.2,0.572,0.0,0.779,0.218,0.573
1984,Magic Johnson,LAL,0.401,67,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,0.191,0.659
1984,Kareem Abdul-Jabbar,LAL,0.201,80,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0.0,0.723,0.163,0.659
1984,Isiah Thomas,DET,0.151,82,36.7,21.3,4.0,11.1,2.5,0.4,0.462,0.338,0.733,0.144,0.598
1984,Julius Erving,PHI,0.129,77,34.8,22.4,6.9,4.0,1.8,1.8,0.512,0.333,0.754,0.18,0.634
1984,Adrian Dantley,UTA,0.116,79,37.8,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,0.235,0.549
1984,Sidney Moncrief,MIL,0.092,79,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,0.198,0.61
1984,Jeff Ruland,WSB,0.05,75,41.1,22.2,12.3,3.9,0.9,1.0,0.579,0.143,0.733,0.144,0.427
